Actuals,Forecasts
7506,7026
8780,7244
10104,7934
7232,8650
7451,7095
7031,7214
6668,6987
7132,6790
6200,7042
6117,6537
6923,6492
6642,6928
5907,6777
6247,6378
7125,6563
6355,7038
6826,6621
6313,6876
5836,6599
